artist_name,artist_id,artist_popularity,artist_n_followers,genre
Beach House,56ZTgzPBDge0OvCGgMO3OY,72,2150444,pov: indie
Beach Weather,7I3bkknknQkIiatWiupQgD,70,579324,pov: indie
Beastie Boys,03r4iKL2g2442PT9n2UKsx,69,2745261,rap
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,80,8979706,pop
Beck,3vbKDsSS70ZX9D2OcvbZmS,66,1524816,rock
Becky G,4obzFoKoKRHIphyHzJ35G3,78,14357390,urbano latino
Becky Hill,4EPJlUEBy49EX1wuFOvtjK,74,777410,pop dance
Benson Boone,22wbnEMDvgVIAGdFeek6ET,87,2147238,singer-songwriter pop
Bethel Music,26T4yOaOoFJvUvxR87Y9HO,70,1773881,ccm
Beyoncé,6vWDO969PvNqNYHIOW5v0m,93,37071084,pop
Big Sean,0c173mlxpT3dSFRgMO8XPh,76,11040842,rap
Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,67,767747,indie pop
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,75,1671556,soul
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,89,93317954,pop
Billy Currington,1By9QBFnjZAoI83BZppHlt,65,2562654,contemporary country
Billy Idol,7lzordPuZEXxwt9aoVZYmG,70,1925367,rock
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,78,5841608,rock
Bizarrap,716NhGYqD1jl2wI1Qkgq36,85,14850947,urbano latino
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,80,8003863,pop
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,73,7686778,rock
Blake Shelton,1UTPBmNbXNTittyMJrNkvw,69,7079350,contemporary country
Bleachers,2eam0iDomRHGBypaDQLwWI,70,717106,pov: indie
Blessd,1TA5sGRlKUJXBN4ZyJuDIX,78,3676536,urbano latino
Blondie,4tpUmLEVLCGFr93o8hFFIB,70,1437176,rock
Bo Burnham,2Waw2sSbqvAwK8NwACNjVo,68,1874776,pov: indie
Bob Dylan,74ASZWbe4lXaubB36ztrGX,71,6386449,rock
Bob Seger,485uL27bPomh29R4JmQehQ,68,2344585,rock
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,76,3551029,modern rock
Bon Jovi,58lV9VcRSjABbAbfWS6skp,79,13027105,rock
Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,66,2947759,rap
Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg,63,2330451,trap
Bootsy Collins,5K0rbdBrs2tNXe5LeWMATT,66,393308,soul
Boston,29kkCKKGXheHuoO829FxWK,67,2685194,rock
Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,65,2738197,contemporary country
Brandon Lake,1bdnGJxkbIIys5Jhk1T74v,71,513425,ccm
Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,65,2932925,contemporary country
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,71,4526641,alternative metal
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,84,5744285,rap
Brett Young,0fiWOxhsBsQQvFDtxUQWo0,66,1096013,contemporary country
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,78,5424142,rock
Britney Spears,26dSoYclwsYLMAKD3tpOr4,81,14165516,pop
Bronco,0VKh7CQDi9MkUvaBMoK1V0,74,3453349,musica mexicana
Brooke Ligertwood,7iETGaxJ4crz3qaljDPCKC,67,106733,ccm
Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,70,2823971,contemporary country
Brothers Osborne,39NR3AUhpbbqKM33vWn2fp,63,1235406,contemporary country
Brray,1GKIlPFdcewHtpDVCQ8zmJ,75,376717,urbano latino
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,76,6163241,rock
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,89,54410082,pop
Bryan Martin,0ChjBYedhZTQnWZWQYg15U,70,146071,modern country pop
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,81,10650788,urbano latino
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,84,8227706,rap
Brytiago,00XhexlJEXQstHimpZN910,74,6715840,urbano latino
Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,67,2938860,alternative metal
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,71,2682734,rap
BØRNS,1KP6TWI40m7p3QBTU6u2xo,67,1251324,pov: indie
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,75,3640832,rock
Calibre 50,4jogXSSvlyMkODGSZ2wc2P,74,10926215,musica mexicana
Calle 24,6dLuQ5qXxIuWc5urxfIiZR,77,894443,corrido
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,75,5536138,pop
Calvin Harris,7CajNmpbOovFoOoasH2HaY,86,22518274,pop
Camila,2gRP1Ezbtj3qrERnd0XasU,72,4370089,latin pop
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,81,32667769,pop
Camilo,28gNT5KBp7IjEOQoevXf9N,79,18755363,latin pop
Cardenales De Nuevo León,0GpuSge5ffZ053NhXxgQkV,73,2147248,musica mexicana
Cardi B,4kYSro6naA4h99UJvo89HB,81,23558568,pop
Carin Leon,66ihevNkSYNzRAl44dx6jJ,86,10994351,musica mexicana
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,73,5990829,latin pop
Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,65,414005,contemporary country
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,72,4861688,pop
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,70,5877255,pop
Casting Crowns,6eJqAWJdd8JhAN1pQGie4r,64,2022910,ccm
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,70,4049093,pov: indie
Chalino Sanchez,7u9m43vPVTERaALXXOzrRq,70,2826255,musica mexicana
Chance Peña,4lhUHpVOXmkEBGGHV71QCh,73,305270,singer-songwriter pop
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,73,5942596,rap
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,75,399245,indie pop
Charles Wesley Godwin,2ErsJAz6qJ5cqjoVAvfvaC,63,130688,modern country pop
