artist_name,artist_id,genre,artist_popularity,artist_n_followers,song_name,song_id,song_duration_min,song_popularity,song_artists,album_name,album_year_release,album_month_release,album_day_release
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Changes,1ofhfV90EnYhEr7Un2fWiv,4.48,75,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Do For Love,4AE7Lj39VnSZNOmGH2iZaq,4.69,75,['2Pac'],R U Still Down? [Remember Me],1997,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Hail Mary,2zoobJFEB9h15fjYjRd6oP,5.21,66,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Keep Ya Head Up,0XRbYXQUymj9SJkrr8YK5B,4.38,70,['2Pac'],Strictly 4 My N.I.G.G.A.Z...,1993,02,16
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),6LwrEZNkvFTOypNwSLjuaJ,4.11,70,['2Pac'],All Eyez On Me,1996,02,13
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Dear Mama,6tDxrq4FxEL2q15y37tXT9,4.67,71,['2Pac'],Me Against The World,1995,03,14
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,3.9,82,['3 Doors Down'],The Better Life,2000,,
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,3.98,77,['3 Doors Down'],Away From The Sun,2002,11,12
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,4.34,74,['3 Doors Down'],Away From The Sun,2002,11,12
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,It's Not My Time,0uybt73QFXaLCoxuVf6fhm,4.03,64,['3 Doors Down'],3 Doors Down,2008,01,01
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Loser,1aC1IBAETh2XYGOE8kCC6t,4.41,63,['3 Doors Down'],The Better Life,2000,,
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Here Without You - Acoustic,2HIU8kiFo9sB5ih05q8wgP,3.88,50,['3 Doors Down'],Here Without You (Acoustic),2004,01,01
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Be Like That,3PbHle8KhJp6GuO1jLdEmQ,4.43,61,['3 Doors Down'],The Better Life,2000,,
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Let Me Go,0nNVR2iDM3eVzEgMi78vQm,4.05,57,['3 Doors Down'],The Greatest Hits,2012,01,01
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Still Alive,6cJRjKolnLTz0Q0TbwJaSv,2.7,60,['3 Doors Down'],Us And The Night,2016,03,11
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Away From The Sun,3THdexHRmED4euIY91Zrxc,3.87,59,['3 Doors Down'],Away From The Sun,2002,11,12
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Amber,6Fe3Flc9SjE03pqwD6PVQl,3.45,68,['311'],From Chaos,2001,06,19
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Beautiful Disaster,0LtsuNRz3IMRrHCYO9fKRk,3.97,62,['311'],Transistor,1997,08,05
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,All Mixed Up,18ZOH3KKu5Elt5ysocFyX4,2.99,61,['311'],311,1995,07,11
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Down,0HDaKOlVAfUWXdFR2RhBtN,2.87,60,['311'],311,1995,07,11
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Love Song,3mtukCAgd0mE260QcBfXAX,3.53,61,['311'],Greatest Hits '93 - '03,2004,06,08
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,I'll Be Here Awhile,1mHZhWJu6RVJhyu3USZdI5,3.49,56,['311'],From Chaos,2001,06,19
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Champagne,4cSSUpptr7r125fK5nRJhP,3.08,55,['311'],From Chaos,2001,06,19
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Falling Down (with Nick Hexum of 311),5A9xSuOZGQJNdRGEWVNGeI,3.3,50,['Tropidelic'],All The Colors,2022,08,05
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Come Original,4HcgoL4KNExj5LgmmFCj0D,3.72,48,['311'],Soundsystem,1999,10,12
311,41Q0HrwWBtuUkJc7C1Rp6K,alternative metal,63,1022284,Don't Tread On Me,462Gn5aIbAFpn2acXZ0a67,3.11,49,['311'],Don't Tread On Me,2005,08,16
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,3.03,74,['Lil Baby'],My Turn (Deluxe),2020,05,01
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Grace (feat. 42 Dugg),01JMnRUs2YOK6DDpdQASGY,3.39,72,['Lil Baby'],My Turn,2020,02,28
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Ron Artest,4Wlz0HsHZlJy0NDK2h6jq6,2.56,72,"['Babyface Ray', '42 Dugg']",Ron Artest,2023,02,08
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Bestfriends,2FBXdFBzEqz29fEtn2zp07,2.21,68,['42 Dugg'],Free Dem Boyz,2021,05,21
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Everybody Shooters Too,6QHlEUJAtLzAtb1ZmhSamg,1.88,66,"['42 Dugg', 'EST Gee']",Last Ones Left,2022,04,08
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,LEMONHEAD (feat. 42 Dugg),5fbHRCsGpFIOLRtlhCRFDR,2.18,62,"['Tyler, The Creator']",CALL ME IF YOU GET LOST,2021,06,25
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Wock N Red,1aTqmtFNinvLcosIriC8lA,3.31,63,['42 Dugg'],Wock N Red,2024,03,15
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,LIKE ME (feat. 42 Dugg & Lil Baby),3gOL6mYIq19Oq8raxIntrV,2.22,63,['Future'],I NEVER LIKED YOU,2022,05,02
42 Dugg,45gHcnDnMC15sgx3VL7ROG,trap,71,1085192,Free Woo,7xkeh1hQKZWQQOhdu2Oinx,2.43,62,['42 Dugg'],Free Dem Boyz,2021,05,21
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Youngblood,2iUXsYOEPhVqEBwsqP70rE,3.39,82,['5 Seconds of Summer'],Youngblood (Deluxe),2018,06,15
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Teeth,3NxWJWftvkstyxvb1pZlFo,3.43,78,['5 Seconds of Summer'],CALM,2020,03,27
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,3.37,72,['5 Seconds of Summer'],5 Seconds Of Summer,2014,06,27
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Ghost Of You,1MhXdlCQPnO56T57MfmaRm,3.29,71,['5 Seconds of Summer'],Youngblood (Deluxe),2018,06,15
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Amnesia,1JCCdiru7fhstOIF4N7WJC,3.95,62,['5 Seconds of Summer'],5 Seconds Of Summer,2014,06,27
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Easier,2bjUEg4jBtKBlPdNrTAppI,2.63,68,['5 Seconds of Summer'],CALM,2020,03,27
